name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
softmax,0,256,8,32,128,3.957419904,89833434,21024768
softmax,0,256,8,32,256,7.978391808,89833434,21024768
softmax,0,256,8,32,512,16.580983296,89833434,21024768
softmax,0,256,8,32,1024,37.112946432,89833434,21024768
softmax,0,256,8,32,2048,92.102153984,89833434,21024768
softmax,0,256,8,32,4096,252.815787008,89833434,21024768
softmax,0,256,8,32,8192,777.764311296,89833434,21024768
softmax,0,512,8,64,128,8.988613632,187754970,50405376
softmax,0,512,8,64,256,18.104427264,187754970,50405376
softmax,0,512,8,64,512,37.456933888,187754970,50405376
softmax,0,512,8,64,1024,82.819027456,187754970,50405376
softmax,0,512,8,64,2048,201.400177152,187754970,50405376
softmax,0,512,8,64,4096,539.991312384,187754970,50405376
softmax,0,512,8,64,8192,1624.248099328,187754970,50405376
softmax,0,1024,8,128,128,22.27203456,408763866,134332416
softmax,0,1024,8,128,256,44.79846912,408763866,134332416
softmax,0,1024,8,128,512,92.09533696,408763866,134332416
softmax,0,1024,8,128,1024,199.98179328,408763866,134332416
softmax,0,1024,8,128,2048,471.51983104,408763866,134332416
softmax,0,1024,8,128,4096,1217.42157824,408763866,134332416
softmax,0,1024,8,128,8192,3522.7341056,408763866,134332416
softmax,0,2048,8,256,128,61.724098304,951444954,402849792
softmax,0,2048,8,256,256,123.956676608,951444954,402849792
softmax,0,2048,8,256,512,252.913350656,951444954,402849792
softmax,0,2048,8,256,1024,537.418540032,951444954,402849792
softmax,0,2048,8,256,2048,1217.917569024,951444954,402849792
softmax,0,2048,8,256,4096,2984.598970368,951444954,402849792
softmax,0,2048,8,256,8192,8146.579838976,951444954,402849792
softmax,0,4096,8,512,128,192.167353344,2439460314,1342537728
softmax,0,4096,8,512,256,385.353906688,2439460314,1342537728
softmax,0,4096,8,512,512,780.688608256,2439460314,1342537728
softmax,0,4096,8,512,1024,1624.592893952,2439460314,1342537728
softmax,0,4096,8,512,2048,3535.346765824,2439460314,1342537728
softmax,0,4096,8,512,4096,8167.581196288,2439460314,1342537728
softmax,0,4096,8,512,8192,20691.206189056,2439460314,1342537728
rbf2keys,0,256,4,32,128,3.655421312,88260698,19452032
rbf2keys,0,256,4,32,256,7.173178624,88260698,19452032
rbf2keys,0,256,4,32,512,14.165356928,88260698,19452032
rbf2keys,0,256,4,32,1024,29.059133696,88260698,19452032
rbf2keys,0,256,4,32,2048,63.120928512,88260698,19452032
rbf2keys,0,256,4,32,4096,143.293336064,88260698,19452032
rbf2keys,0,256,4,32,8192,352.559409408,88260698,19452032
rbf2keys,0,512,4,64,128,7.981939264,181463642,44114048
rbf2keys,0,512,4,64,256,15.688454528,181463642,44114048
rbf2keys,0,512,4,64,512,31.014908416,181463642,44114048
rbf2keys,0,512,4,64,1024,63.487776512,181463642,44114048
rbf2keys,0,512,4,64,2048,136.971275264,181463642,44114048
rbf2keys,0,512,4,64,4096,308.061508608,181463642,44114048
rbf2keys,0,512,4,64,8192,748.068491776,181463642,44114048
rbf2keys,0,1024,4,128,128,18.648249088,383598170,109166720
rbf2keys,0,1024,4,128,256,36.745698176,383598170,109166720
rbf2keys,0,1024,4,128,512,72.767235072,383598170,109166720
rbf2keys,0,1024,4,128,1024,148.451989504,383598170,109166720
rbf2keys,0,1024,4,128,2048,316.900223488,383598170,109166720
rbf2keys,0,1024,4,128,4096,702.022363136,383598170,109166720
rbf2keys,0,1024,4,128,8192,1667.935675392,383598170,109166720
rbf2keys,0,2048,4,256,128,48.033836416,850781786,302186624
rbf2keys,0,2048,4,256,256,94.966072832,850781786,302186624
rbf2keys,0,2048,4,256,512,188.484943104,850781786,302186624
